playground,type,SES,avgPb,avgAs,avgZn,avgSr,avgCd,peeling_paint,rubber_condition,num_homes,num_homes_paint,distance,EJ_criteria,notes
h15,mulch,high,8.24875,5.1075,129.98,23.53,5.00625,0,2,1,0,73.14203151,0, 
h15,rubber,high,45.39,7.76625,9722.78,57.545,6.4575,0,2,1,0,81.73490269,0,Some damaged sections of rubber
h15,soil,high,336.6,34.64875,627.575,114.08,8.715,0,2,1,0,87.05013057,0, 
h20,rubber,high,13.4075,5.745,16312.205,90.43,7.245,0,0,2,0,99.04873875,0, 
h20,sand,high,13.64,10.26625,20.83,95.4,9.3225,0,0,2,0,99.04873875,0,outside box
h20,soil,high,40.615,44.62625,46.135,107.505,8.805,0,0,2,0,99.04873875,0, 
h3,mulch,high,13.715,5.278125,34.45,22.24,4.918125,0,0,3,1,61.6037966,0, 
h3,rubber,high,27.105,6.93,7884.785,77.19,8.46375,0,0,3,1,61.6037966,0, 
h3,soil,high,46.775,7.5675,195.375,71.915,7.21125,0,0,3,1,61.6037966,0,fence has peeling paint
h32,mulch,high,5.596875,4.29,14.261875,10.9875,4.7325,0,0,0,0,82.20760483,0,"lot of paint from bench, maybe"
h32,sand,high,7.245,5.71875,14.835,56.9,9.81,0,0,0,0,82.20760483,0, 
h32,soil,high,21.38875,6.5475,64.765,61.65,7.9575,0,0,0,0,82.20760483,0, 
h35,rubber,high,16.0505,6.6405,17594.494,31.838,7.3095,1,2,1,0,27.47603969,0,rubber damaged at corner
h35,sand,high,7.0275,5.65875,14.1225,36.865,9.70875,1,2,1,0,27.47603969,0,baseball field
h35,soil,high,179.7,14.82,151.25,83.055,8.7,1,2,1,0,27.47603969,0, 
h36,mulch,high,26.149375,6.384375,74.405,13.965,4.91625,1,1,2,0,116.2387397,3,crumb rubber contamination
h36,rubber,high,19.34,6.21,4503.065,59.765,7.8975,1,1,2,0,116.2387397,3,soil type under turf
h36,sand,high,22.975,7.13625,32.515,125.64,9.36375,1,1,2,0,116.2387397,3,baseball field
h36,soil,high,46.33,8.1,89.585,96.345,8.6925,1,1,2,0,116.2387397,3,next to fence
h37,rubber,high,16.915,7.785,302.125,237.415,8.6025,1,1,4,0,78.28511544,0, 
h37,soil,high,134.57,12.80625,130.415,118.345,9.43125,1,1,4,0,78.28511544,0,next to tree
h39,rubber,high,6.76875,5.44125,12962.815,24.14,7.79625,0,0,1,0,29.97885299,0, 
h39,sand,high,6.0975,5.01,9.6375,29.43,9.5625,0,0,1,0,29.97885299,0,baseball field
h39,soil,high,25.56375,3321.76375,265.3,53.22,7.1475,0,0,1,0,29.97885299,0, 
h7,rubber,high,8.3475,6.72,94.39,270.995,10.28625,0,0,0,0,141.9017111,0, 
h7,soil,high,117.635,13.1775,132.3,165.43,8.74875,0,0,0,0,141.9017111,0, 
h9,mulch,high,5.43,4.0725,50.635,8.5975,4.41375,1,1,0,0,79.20638721,0, 
h9,rubber,high,9.141875,5.180625,14917.765,19.4275,6.48375,1,1,0,0,78.42523284,0,Deteriorating by swings
h9,sand,high,5.85375,4.7625,9.1875,36.605,9.29625,1,1,0,0,27.85683564,0, 
